M00: ms;M01: ms
121,2;67,6
115,2;82
110,2;37,1
127,6;38,1
109,6;68,7
130,6;50,7
115,5;68,1
115,5;67,7
129,8;52,8
117,5;66,4
125,2;40,1
122,9;78,5
129,7;54
126,7;72,8
115,6;64,4
123,1;36,1
117,2;60,5
122,6;66,4
125,3;65,1
116,3;72,6
114,4;76,2
120,3;58,2
110,4;70,9
106;64,6
113,6;70,9
125,2;49,6
118,6;84,5
116,8;63,6
123,4;66,3
117,3;72,8
120,3;82,4
127;56
120;83,7
114,8;92,7
117,7;49,6
123,4;64,2
127,5;72
127,9;75
116,4;64
118,2;88,1
126,7;59,8
118,8;61,2
121,9;74,2
116,6;65,9
119,5;74,8
116,6;72,9
112,5;73,4
126,9;31,8
121,9;68,7
127,2;53,9
105,2;59
119,3;78,4
122,6;67,7
109,8;59,8
122,5;71,4
107;59,7
126,8;74,4
113,9;71,4
123,9;51
117,8;46,8
131,4;65,7
108;81,5
133,2;67
115,8;77,2
120,3;91,6
123,9;41,5
119,7;23,9
120,7;69,7
106;76,4
120,2;57,7
109,3;64,5
105,4;71,7
122,1;65,8
117,5;51,8
126,5;65,7
119,3;71,3
122,2;65
125,6;78,5
129;53,7
123;74,7
126,3;53,2
138,7;74,4
115,2;72,5
111,1;93,5
125,6;64,4
126,6;86,1
109,8;82,3
126,5;43,4
120,3;68,3
121,7;51,3
121,4;68,8
122,4;70,9
121,4;59,2
120,9;57,8
126;71
111,6;89,3
118,5;72,2
119,7;86,5
115,7;64,1
113,9;69,8
109,4;85,4
110,2;80,7
108,4;82
115,3;72,5
109,8;65,7
129,9;86
109,1;102,1
122,3;68,6
101,3;70,5
118,5;86,9
113,3;77,5
107,1;94,3
120,3;90,3
118,5;61,9
105,2;86
113,6;76,2
116,4;106,2
108,6;83,4
105,2;99,5
130,6;93,2
109,4;113,6
117,8;97,3
104,7;103,3
124,2;94,1
120,9;79,5
111;107,8
114,7;79,1
128,6;94,9
111,5;101,9
114,7;113,1
91,9;115,9
121,3;119,9
101,7;103,2
101,2;107,8
101,7;121,1
120,9;116,5
97;87,7
108;109,7
99,5;102,2
110,7;132,5
102,8;105,7
108,8;112,8
108,8;111,4
106,9;149,2
105,5;117,9
95,9;131,1
91,3;111,9
104;135,8
104,5;136,7
101,3;117,3
102,4;150,8
111,2;145
98,3;160,6
97,9;117,8
101,9;153,9
97,1;150,7
100,2;151
109,5;144,1
90,1;160,2
98,9;173,8
103,7;164,9
96,3;176,2
106,3;185,9
97,2;153,7
96,3;183,3
89;175,5
96,9;216,9
87,5;222,3
84;191,4
98;225,2
93,9;197,9
86,6;214
75,6;219,4
92,8;208,4
84,7;247
93,5;227,1
102,9;232,8
95,2;237,7
83,6;220,9
93,8;243,5
84,8;260,9
88;265,1
83,8;266,8
77,3;270,6
74,2;268,5
85,9;278,4
85,8;288,9
79,3;294,7
72,7;294,7
82;300,6
68;317,5
71,1;323,1
65,7;340,5
69,3;313,2
72,4;307,8
72,1;340,6
68,6;327,4
63,1;360,3
67,9;349,6
59,3;375,4
57,6;358,5
59,5;374,4
51,6;401
54;387,4
57,3;404,9
43,1;395,8
60,5;423,5
59,7;439,1
64,9;424,6
52,2;466,5
56,3;465,5
48,5;462,6
43,5;480,6
45,7;475,9
44,4;483,5
38,1;512,8
35,6;487,6
37,1;543,8
34;530,4
38;550,1
34,3;549,4
33,4;560,8
35,3;584,4
30,6;586,1
25,6;583,9
25,2;615,3
23,6;618,6
28,5;637,9
30,7;632
18,6;672,2
18,7;665,3
22,9;692,1
23,7;680
20,1;689,3
7,9;700,8
20,1;742
10,4;734,7
22,7;738,9
4,9;752,4
7,8;744,4
10,9;765,4
25,9;757,4
20,1;783,2
5,8;775
12,1;768,8
1;794,1
12,3;788,9
10,6;800,5
2,4;844,3
26,3;833,8
3,5;853,7
20,1;853,8
3,9;847,9
9,2;874,9
1;867,7
27,1;869,3
10,3;928,9
2,2;905
1;935,4
15,8;953,3
19;993,6
11,1;994,6
4,7;993,3
10,3;937,6
5,4;1017,4
23,5;1026,7
1,7;1015,1
14,5;1057
9,2;1064,6
22,2;1054,4
10,5;1120,8
0,6;1079,7
1,7;1081,7
7,7;1070,3
16,5;1117
5,2;1057,7
2,8;1095,5
3,1;1120,9
